origin_zone,destination_zone,month,shipments,charged_weight,basic_freight,total_freight,vas_freight,avg_shipment_base_yield,avg_shipment_total_yield,base_yield,total_yield,vas_yield,yield_uplift,avg_weight_per_shipment,weight_share_pct,basic_freight_share_pct,total_freight_share_pct,base_yield_mom_abs,base_yield_mom_pct,total_yield_mom_abs,total_yield_mom_pct,vas_yield_mom_abs,vas_yield_mom_pct,charged_weight_mom_abs,charged_weight_mom_pct,shipments_mom_abs,shipments_mom_pct
NORTH ZONE RO,SOUTH ZONE RO,June,90,137034.0,1098780.55,1344575.69,245795.13999999998,8.384074074074075,11.294490764015485,8.018306040836581,9.81198600347359,1.7936799626370097,1.7936799626370092,1522.6,0.4373758251475484,0.3413191471547052,0.3319652758542139,-0.6520254566174355,-7.520190627185343,-0.500012680235578,-4.848843522696477,0.15201277638185706,9.25965857480633,50427.0,58.225085732100176,9.0,11.11111111111111
NORTH ZONE RO,SOUTH ZONE RO,July,86,181097.0,1309748.99,1498510.37,188761.38,7.436452842377261,9.158572692042501,7.232306388289149,8.274628348343706,1.0423219600545564,1.042321960054557,2105.779069767442,0.5780131194210603,0.4068532231058663,0.3699705505961142,-0.7859996525474324,-9.802564887700719,-1.5373576551298846,-15.668159887158795,-0.7513580025824533,-41.889189723557564,44063.0,32.15479370083337,-4.0,-4.444444444444445
NORTH ZONE RO,NORTH EAST ZONE RO,April,2424,1360426.0,15757437.45,18206032.0,2448594.55,13.385944942053433,17.27231766905853,11.582722948547,13.382596333795444,1.799873385248444,1.7998733852484445,561.2318481848184,4.342115418817072,4.894803709237129,4.494927641515403,,,,,,,,,,
NORTH ZONE RO,NORTH EAST ZONE RO,May,2587,1514765.0,17470422.59,20316614.48,2846191.89,13.110527004435873,17.301441631674752,11.533421085118814,13.412387056738174,1.87896597161936,1.87896597161936,585.529570931581,4.834724169035613,5.426915992325397,5.016014033599639,-0.049301863428185655,-0.4256500276074578,0.029790722942729886,0.22260794691608937,0.07909258637091598,4.394341680873207,154339.0,11.344902258557246,163.0,6.724422442244224
NORTH ZONE RO,NORTH EAST ZONE RO,June,2538,1536519.3,17568230.21,21219995.13,3651764.92,13.312853907590274,17.91757941563605,11.433784274626424,13.81043188328321,2.3766476086567865,2.3766476086567856,605.4055555555556,4.90415806801694,5.457298413495513,5.239051686971617,-0.09963681049238993,-0.8638964081606971,0.3980448265450356,2.9677403795550625,0.4976816370374264,26.486995749502935,21754.300000000047,1.4361501619063053,-49.0,-1.8940858136838037
NORTH ZONE RO,NORTH EAST ZONE RO,July,2589,1418241.0,16714259.79,20371478.46,3657218.67,13.478266263250132,18.309897601550084,11.785204200132418,14.363904625518513,2.5787004253860943,2.5787004253860957,547.7949015063731,4.526645413788433,5.192025738756462,5.029559523370587,0.35141992550599355,3.073522440736057,0.5534727422353036,4.007642533650616,0.20205281672930786,8.501589213030298,-118278.30000000005,-7.697807635738779,51.0,2.0094562647754137
NORTH ZONE RO,NEPAL ZONE,April,1945,2001675.96,17018937.59,21330264.45,4311326.86,9.004024243978503,15.343839986883616,8.502344000774231,10.6562025403952,2.153858539620969,2.153858539620968,1029.1393110539846,6.3888135403112445,5.286669174930293,5.266276324085246,,,,,,,,,,
NORTH ZONE RO,NEPAL ZONE,May,1839,1860956.03,15855192.66,20193414.13,4338221.47,9.051016858435526,15.750606952547916,8.51991793701864,10.851096857995081,2.33117892097644,2.3311789209764413,1011.9391136487221,5.9396732138342,4.925169850053081,4.98559682579404,0.017573936244408728,0.20669519185307522,0.19489431759988207,1.8289284279374645,0.17732038135547112,8.232684649135573,-140719.92999999993,-7.030105412266625,-106.0,-5.4498714652956295
NORTH ZONE RO,NEPAL ZONE,June,2032,1993085.61,16939841.14,22300157.92,5360316.78,8.973066896547937,15.89076513703822,8.499304322406903,11.18876068750504,2.6894563650981356,2.6894563650981365,980.8492175196851,6.361395443929644,5.262099088704281,5.505735475185732,-0.020613614611736608,-0.241946163849436,0.33766382950995855,3.111794447408034,0.3582774441216956,15.368938046661263,132129.58000000007,7.100091451381582,193.0,10.494834148994018
NORTH ZONE RO,NEPAL ZONE,July,1800,2005163.85,16546918.86,21460898.86,4913980.0,9.00119677210454,16.113272181058797,8.252152989891574,10.702815562927688,2.4506625730361136,2.450662573036114,1113.9799166666667,6.399945951003291,5.140043872576109,5.298528943461179,-0.2471513325153296,-2.9079007309311082,-0.48594512457735206,-4.343154153971918,-0.238793792062022,-8.878887018243505,12078.23999999999,0.6060070846630612,-232.0,-11.417322834645669
EAST ZONE RO,NORTH ZONE RO,April,162,45432.0,263642.55,301045.15,37402.6,6.580185185185186,7.46478986949596,5.803014395139989,6.626279934847685,0.823265539707695,0.8232655397076956,280.44444444444446,0.1450067756038897,0.08189647179292692,0.074325705133285,,,,,,,,,,
